decision_date,trained_through_feature_date,latest_observed_target_date,labelled_months,observations,selected_epoch,best_validation_loss,validation_start,validation_end,seed
2015-01-31,2014-12-31,2015-01-31,80,560,32,0.0005072473431937397,2014-01-31,2014-12-31,42
2016-01-31,2015-12-31,2016-01-31,92,644,41,0.0006944338674657047,2015-01-31,2015-12-31,42
2017-01-31,2016-12-31,2017-01-31,104,728,75,0.0006325460271909833,2016-01-31,2016-12-31,42
2018-01-31,2017-12-31,2018-01-31,116,812,21,0.00024916563415899873,2017-01-31,2017-12-31,42
2019-01-31,2018-12-31,2019-01-31,128,896,65,0.0006017746054567397,2018-01-31,2018-12-31,42
2020-01-31,2019-12-31,2020-01-31,140,980,85,0.0003785817534662783,2019-01-31,2019-12-31,42
2021-01-31,2020-12-31,2021-01-31,152,1064,38,0.001257782569155097,2020-01-31,2020-12-31,42
2022-01-31,2021-12-31,2022-01-31,164,1148,71,0.0004914178280159831,2021-01-31,2021-12-31,42
2023-01-31,2022-12-31,2023-01-31,176,1232,9,0.0013190520694479346,2022-01-31,2022-12-31,42
2024-01-31,2023-12-31,2024-01-31,188,1316,57,0.0008292768616229296,2023-01-31,2023-12-31,42
2025-01-31,2024-12-31,2025-01-31,200,1400,82,0.00044794281711801887,2024-01-31,2024-12-31,42
2026-01-31,2025-12-31,2026-01-31,212,1484,29,0.0005095748929306865,2025-01-31,2025-12-31,42
